,mol_name,mol_smiles,mol_act,mol_fp,mol_prob
859,CHEMBL246659,COc1ccc2nc(N[C@@H](Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)c3nc4ccccc4[nH]3)sc2c1,0.35,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977350>,0.7046880897187134
860,CHEMBL246454,O=C1CC(c2ccc(C[C@H](Nc3nc4c(Cl)cccc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,2.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9773A0>,0.09071795328941251
861,CHEMBL1778909,COc1cc(O)c(Br)cc1/C=C/C(=O)c1ccc(OC(=O)c2ccc(Br)cc2)cc1,2.3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9773F0>,0.10025884372280375
862,CHEMBL1778918,COc1cc(O)c(Br)cc1/C=C/C(=O)c1cc2c(cc1N(C)C)OCO2,6.3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977440>,0.0018363047770289071
863,CHEMBL602231,CCOC(=O)c1c(-c2ccc(-c3ccc(F)c(Cl)c3)cc2)csc1NC(=O)c1ccccc1C(=O)O,2.1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977490>,0.1224564282529819
864,CHEMBL1778921,C=CCN(CC=C)c1cccc(C(=O)/C=C/c2cc(Br)c(O)cc2OC)c1,4.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9774E0>,0.011108996538242306
865,CHEMBL1778928,COc1cc(O)c(Br)cc1/C=C/C(=O)c1ccc(NC(=O)c2ccc(C(C)(C)C)cc2)cc1,3.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977530>,0.03337326996032608
866,CHEMBL1778919,C=CCN(CC=C)c1ccc(C(=O)/C=C/c2cc(Br)c(O)cc2OC)cc1,3.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977580>,0.03337326996032608
867,CHEMBL1935620,CC(C)(C)N.Cc1oc(/C=C/CCC(C)C)nc1CCOc1ccc2c(c1)CN(C(=O)/C=C/c1cccs1)[C@H](C(=O)O)C2,1.05,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9775D0>,0.3499377491111553
868,CHEMBL1935618,CC(C)(C)N.CCO/C=C/C(=O)N1Cc2cc(OCCc3nc(/C=C/CCC(C)C)oc3C)ccc2C[C@H]1C(=O)O,2.55,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977620>,0.07808166600115317
869,CHEMBL1935608,CC(C)(C)N.CC(C)=C/C=C/C(=O)N1Cc2cc(OCCc3nc(/C=C/CCC(C)C)oc3C)ccc2C[C@H]1C(=O)O,0.95,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977670>,0.38674102345450123
870,CHEMBL1935497,C/C=C/C=C/C(=O)N1Cc2cc(OCCc3nc(/C=C/CC(C)(C)C)oc3C)ccc2C[C@H]1C(=O)O.CC(C)(C)N,1.95,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9776C0>,0.1422740715865136
871,CHEMBL25486,O=C(O)C(CCN1C(=O)c2ccccc2C1=O)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,0.044000000000000004,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977710>,0.9569539574730467
872,CHEMBL1086227,COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)ccc2O[C@@H](Cc2ccccc2)C(=O)O)cc1,0.043,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977760>,0.9579113900670306
873,CHEMBL2207336,O=C1N=C(NCc2cccc(CNC3=NC(=O)/C(=C/c4ccc(O)cc4)S3)c2)S/C1=C\c1ccc(O)cc1,9.1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9777B0>,0.00011166580849011478
874,CHEMBL2207335,O=C1N=C(NCC2CCCC(CNC3=NC(=O)/C(=C/c4ccc(O)cc4)S3)C2)S/C1=C\c1ccc(O)cc1,9.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977800>,0.00012340980408667956
875,CHEMBL3628481,COC(=O)CN1C(=O)/C(=C\c2ccc(OCc3ccc(C(=O)OC)cc3)cc2)N(Cc2ccccc2)C1=O,6.8,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977850>,0.0011137751478448032
876,CHEMBL2208255,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccc(/C=C2/C(=O)Nc3ccc(C)cc32)o1,5.7,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9778A0>,0.003345965457471272
877,CHEMBL1935612,C=CCCCC(=O)N1Cc2cc(OCCc3nc(/C=C/CCC(C)C)oc3C)ccc2C[C@H]1C(=O)O.CC(C)(C)N,1.43,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9778F0>,0.23930892224375455
878,CHEMBL1779050,C=CCc1cc(C(=O)/C=C/c2cc(Br)c(O)cc2OC)ccc1OC,5.3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977940>,0.004991593906910217
879,CHEMBL1935615,CC(C)(C)N.Cc1oc(/C=C/CCC(C)C)nc1CCOc1ccc2c(c1)CN(C(=O)/C=C/C=C/CO)[C@H](C(=O)O)C2,3.2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977990>,0.04076220397836621
880,CHEMBL1935499,C/C=C/C=C/C(=O)N1Cc2cc(OCCc3nc(/C=C/CCC(C)C)oc3C)ccc2C[C@H]1C(=O)O.CC(C)(C)N,1.18,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9779E0>,0.30727873860113125
881,CHEMBL370304,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccccc2)Cc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1Cl,3.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977A30>,0.049787068367863944
