,mol_name,mol_smiles,mol_act,mol_fp
31,CHEMBL267048,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccc(F)c(F)c2)n2nnc3ccccc32)cc1,0.012,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96878A0>
32,CHEMBL604457,CS(=O)(=O)OC1C(Cl)CCCC1Cc1ccc(N2CC(=O)CS2(=O)=O)c(O)c1,0.0126,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96878F0>
33,CHEMBL592290,O=C1CN(c2c(O)cc(CC3CCCCC3)cc2F)S(=O)(=O)C1,0.013999999999999999,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687940>
34,CHEMBL381584,O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3cccc(F)c3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],0.015,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687990>
35,CHEMBL378614,Cc1cc(C[C@H](NS(=O)(=O)c2ccc(Br)c(C(F)(F)F)c2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],0.016,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96879E0>
36,CHEMBL410646,CC(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(c1ccccc1)n1nnc2ccccc21,0.016,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687A30>
37,CHEMBL590480,CCC(CC)c1ccc(N(Cc2cccc(-c3ccc(COc4ccc(C[C@H](NC(C)=O)C(=O)O)cc4)cc3)c2)C(C)C)cc1,0.016,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687A80>
38,CHEMBL274435,O=P(O)(O)C(F)(F)c1ccc(/C=C/CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccccc2)n2nnc3ccccc32)cc1,0.016,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687AD0>
39,CHEMBL276647,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccccc2)n2nnc3ccccc32)cc1,0.016,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687B20>
40,CHEMBL1938824,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(Br)c(C(F)(F)P(=O)(O)O)cc3c2)cc1,0.017,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9687B70>
