,mol_name,mol_smiles,mol_act,mol_fp,mol_prob
83,CHEMBL253475,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(F)c3)C3=NC[C@@H](Cc4ccccc4)N3)cc2)S(=O)(=O)N1,0.21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6030>,0.8105842459701871
84,CHEMBL253066,C[C@H]1CN=C(C(Cc2ccc(C3CC(=O)NS3(=O)=O)cc2)NS(=O)(=O)c2cccc(C(F)(F)F)c2)N1,0.81,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC61C0>,0.4448580662229411
85,CHEMBL211061,CC(C)(C)c1cccc2[nH]c(C(Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)NS(=O)(=O)c3ccc(-c4ccccc4)cc3)nc12,0.46,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6170>,0.631283645506926
86,CHEMBL264833,N#Cc1ccc2[nH]c(C(Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)NS(=O)(=O)c3ccc(-c4ccccc4)cc3)nc2c1,0.053,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC62B0>,0.9483800124822982
87,CHEMBL208982,Cc1cccc2[nH]c(C(Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)NS(=O)(=O)c3ccc(-c4ccccc4)cc3)nc12,0.19,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC63A0>,0.8269591339433623
88,CHEMBL187343,Cc1ccc2c(c1)CCN2CCC(=O)N[C@@H](CCC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccc(OCC(=O)O)cc1)C(=O)C[C@@H](CC(C)C)C(N)=O,4.3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC63F0>,0.013568559012200934
89,CHEMBL428184,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(OC(F)(C(=O)O)C(=O)O)cc1)C(=O)N[C@@H](CC(C)C)C(N)=O,1.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6440>,0.36787944117144233
90,CHEMBL515146,O=c1c(Cc2ccc(-c3ccccc3)cc2)c(-c2ccc(O)cc2)oc2cc(O)c(O)cc12,2.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6350>,0.1353352832366127
91,CHEMBL1163992,CC(C)=C[C@H]1C[C@@](O)([C@H]2CC[C@@H]3[C@@H]2CC[C@H]2[C@@]3(C)CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C(=O)O1,9.6,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6300>,6.77287364908539e-05
92,CHEMBL1163233,COc1ccccc1C(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@H]([C@@]5(O)C[C@@H](C=C(C)C)OC5=O)CC[C@H]4[C@]3(C)CC[C@H]2C1(C)C,1.9,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6260>,0.14956861922263506
